"","Gemeinde","Gemeindeschluessel","Postleitzahl"
"1","Münster",5515000,"48147"
"2","Schwäbisch Gmünd",8136065,"73529"
"3","Nauen",12063208,"14641"
"4","Pentling",9375180,"93080"
"5","Saarlouis",10044115,"66740"
"6","Osnabrück",3404000,"49082"
"7","Altendiez",7141002,"65624"
"8","Arnstorf",9277111,"94424"
"9","Boldekow",13075015,"17392"
"10","Garching b. München",9184119,"85748"
"11","Konstanz",8335043,"78465"
"12","Naumburg (Saale)",15084355,"06618"
"13","Philippsburg",8215066,"76661"
"14","Barsinghausen",3241002,"30890"
"15","Elmshorn",1056015,"25337"
"16","Unna",5978036,"59427"
"17","Elmshorn",1056015,"25336"
"18","Schweinfurt",9662000,"97424"
"19","Senden",5558044,"48308"
"20","Geldern",5154012,"47608"
"21","Bergheim",5362008,"50129"
"22","Aalen",8136088,"73433"
"23","Heddesheim",8226028,"68542"
"24","Weibern",7131211,"56745"
"25","Bönen",5978008,"59199"
"26","Luckau",12061320,"15926"
"27","Horn-Bad Meinberg",5766032,"32805"
"28","Hellenhahn-Schellenberg",7143237,"56479"
"29","Boren",1059187,"24392"
"30","Sinsheim",8226085,"74889"
"31","Rheinbach",5382048,"53359"
"32","Chemnitz",14511000,"09114"
"33","Sinzig",7131077,"53489"
"34","Brieselang",12063036,"14656"
"35","Volkach",9675174,"97332"
"36","Lauda-Königshofen",8128139,"97922"
"37","Swisttal",5382064,"53913"
"38","Bonndorf im Schwarzwald",8337022,"79848"
"39","Gedern",6440009,"63688"
"40","Warburg",5762036,"34414"
"41","Lippstadt",5974028,"59556"
"42","Perach",9171126,"84567"
"43","Eckernförde",1058043,"24340"
"44","Merchweiler",10043113,"66589"
"45","Filderstadt",8116077,"70794"
"46","Köln",5315000,"50859"
"47","Walting",9176165,"85137"
"48","Undenheim",7339060,"55278"
"49","Eschwege",6636003,"37269"
"50","Jesteburg",3353020,"21266"
"51","Langenberg",5754024,"33449"
"52","Ulm",8421000,"89081"
"53","Haßfurt",9674147,"97437"
"54","Herzberg (Elster)",12062224,"04916"
"55","Bebra",6632003,"36179"
"56","Emlichheim",3456002,"49824"
"57","Mühlberg/Elbe",12062341,"04895"
"58","Berumbur",3452003,"26524"
"59","Coesfeld",5558012,"48653"
"60","Neusalza-Spremberg",14626350,"02742"
"61","Dortmund",5913000,"44269"
"62","Garbsen",3241005,"30826"
"63","Wehretal",6636014,"37287"
"64","Friesenheim",8317031,"77948"
"65","Maitenbeth",9183126,"83558"
"66","Schifferstadt",7338025,"67105"
"67","Amöneburg",6534001,"35287"
"68","Lorup",3454033,"26901"
"69","Kaufungen",6633015,"34260"
"70","Rheinböllen",7140125,"55494"
"71","Beverungen",5762008,"37688"
"72","Bockhorn",3455025,"26345"
"73","Hausach",8317041,"77756"
"74","Hoogstede",3456009,"49846"
"75","Havixbeck",5558020,"48329"
"76","Urbar",7137224,"56182"
"77","Ebernhahn",7143012,"56424"
"78","Oberviechtach",9376151,"92526"
"79","Erfurt",16051000,"99091"
"80","Wuppertal",5124000,"42327"
"81","Kirchzell",9676131,"63931"
"82","Bielefeld",5711000,"33739"
"83","Deggendorf",9271119,"94469"
"84","Kirchdorf a.d. Amper",9178136,"85414"
"85","Seelze",3241015,"30926"
"86","Karlsbad",8215096,"76307"
"87","Boxberg",8128014,"97944"
"88","Hövelhof",5774024,"33161"
"89","Much",5382036,"53804"
"90","Unna",5978036,"59425"
"91","Am Mellensee",12072002,"15838"
"92","Ingolstadt",9161000,"85055"
"93","Pfungstadt",6432018,"64319"
"94","Braderup",1054017,"25923"
"95","Vreden",5554068,"48691"
"96","Wegberg",5370040,"41844"
"97","Neustadt a.d. Waldnaab",9374139,"92660"
"98","Zehnhausen bei Wallmerod",7143316,"56414"
"99","Nettetal",5166016,"41334"
"100","Essen",5113000,"45279"
"101","Thaleischweiler-Fröschen",7340051,"66987"
"102","Kevelaer",5154032,"47627"
"103","Steinbach",16061089,"37308"
"104","Quickborn",1056041,"25451"
"105","Wienhausen",3351022,"29342"
"106","Waldenbuch",8115048,"71111"
"107","Sachsenheim",8118076,"74343"
"108","Speyer",7318000,"67346"
"109","Geisenhausen",9274134,"84144"
"110","Ansbach",9561000,"91522"
"111","Selzen",7339053,"55278"
"112","Bedburg-Hau",5154004,"47551"
"113","Bühlertann",8127012,"74424"
"114","Geestland",3352062,"27624"
"115","Schwaig b. Nürnberg",9574156,"90571"
"116","Großmehring",9176129,"85098"
"117","Ainring",9172111,"83404"
"118","Rötz",9372154,"92444"
"119","Stuhr",3251037,"28816"
"120","Bonn",5314000,"53127"
"121","Bassum",3251007,"27211"
"122","Naundorf",14730210,"04769"
"123","Landau in der Pfalz",7313000,"76829"
"124","Leverkusen",5316000,"51379"
"125","Kiefersfelden",9187148,"83088"
"126","Frauenau",9276121,"94258"
"127","Dierdorf",7138012,"56269"
"128","Magstadt",8115029,"71106"
"129","Allmendingen",8425002,"89604"
"130","Pettstadt",9471169,"96175"
"131","Eichstetten am Kaiserstuhl",8315030,"79356"
"132","Oppenheim",7339049,"55276"
"133","Flein",8125030,"74223"
"134","Reeßum",3357037,"27367"
"135","Wartmannsroth",9672161,"97797"
"136","Allmersbach im Tal",8119003,"71573"
"137","Oberderdingen",8215059,"75038"
"138","Klingenberg a. Main",9676134,"63911"
"139","Hückelhoven",5370020,"41836"
"140","Hollfeld",9472154,"96142"
"141","Schwalbach",10044118,"66773"
"142","Ochsenfurt",9679170,"97199"
"143","Rhauderfehn",3457018,"26817"
"144","Teunz",9376171,"92552"
"145","Wildeck",6632020,"36208"
"146","Wittlich",7231134,"54516"
"147","Hüttlingen",8136033,"73460"
"148","Burgdorf",3241003,"31303"
"149","Sprockhövel",5954028,"45549"
"150","Greifswald",13075039,"17489"
"151","Husby",1059127,"24975"
"152","Iffezheim",8216023,"76473"
"153","Mudersbach",7132072,"57555"
"154","Geisenfeld",9186122,"85290"
"155","Duggendorf",9375131,"93182"
"156","Stemwede",5770044,"32351"
"157","Geislingen",8417022,"72351"
"158","Hardheim",8225032,"74736"
"159","Alsfeld",6535001,"36304"
"160","Amberg",9361000,"92224"
"161","Scholen",3251031,"27251"
"162","Aurachtal",9572114,"91086"
"163","Gladenbach",6534010,"35075"
"164","Emden",3402000,"26725"
"165","Halver",5962012,"58553"
"166","Schapen",3454046,"48480"
"167","Arnstein",9677114,"97450"
"168","Selb",9479152,"95100"
"169","Drebber",3251013,"49457"
"170","Weimar",16055000,"99425"
"171","Teublitz",9376170,"93158"
"172","Hamminkeln",5170012,"46499"
"173","Neckarwestheim",8125066,"74382"
"174","Bochum",5911000,"44805"
"175","Goldkronach",9472143,"95497"
"176","Bad Feilnbach",9187129,"83075"
"177","Friedeburg",3462005,"26446"
"178","Kirchardt",8125049,"74912"
"179","Reichertsheim",9183140,"84437"
"180","Blankenheim",5366008,"53945"
"181","Ettenheim",8317026,"77955"
"182","Merzig",10042113,"66663"
"183","Ketsch",8226037,"68775"
"184","Gladbeck",5562014,"45966"
"185","Bad Salzuflen",5766008,"32107"
"186","Giesen",3254017,"31180"
"187","Estorf",3256006,"31629"
"188","Gröningen",15083245,"39397"
"189","Erolzheim",8426044,"88457"
"190","Niebüll",1054088,"25899"
"191","Furth im Wald",9372126,"93437"
"192","Borgentreich",5762012,"34434"
"193","Feuchtwangen",9571145,"91555"
"194","Kirchdorf",3251021,"27245"
"195","Messel",6432012,"64409"
"196","Wabern",6634025,"34590"
"197","Niedernhausen",6439011,"65527"
"198","Ennigerloh",5570020,"59320"
"199","Kaiserpfalz",15084246,"06642"
"200","Ehingen (Donau)",8425033,"89584"
"201","Barsbüttel",1062009,"22885"
"202","Ebhausen",8235020,"72224"
"203","Ühlingen-Birkendorf",8337128,"79777"
"204","Wertach",9780145,"87497"
"205","Heimweiler",7133041,"55606"
"206","Otterfing",9182127,"83624"
"207","Herten",5562020,"45699"
"208","Kiel",1002000,"24159"
"209","Ringgau",6636010,"37296"
"210","Langenzenn",9573120,"90579"
"211","Ringsheim",8317113,"77975"
"212","Buchenberg",9780117,"87474"
"213","Neustadt/Westerwald",7143272,"56479"
"214","Wittenberg",15091375,"06886"
"215","Gilching",9188121,"82205"
"216","Ilsenburg (Harz)",15085190,"38871"
"217","Bopfingen",8136010,"73441"
"218","Erdweg",9174118,"85253"
"219","Kuhfelde",15081290,"29416"
"220","Großhabersdorf",9573115,"90613"
"221","Durach",9780120,"87471"
"222","Bodenwöhr",9376116,"92439"
"223","Münster",5515000,"48163"
"224","Bocholt",5554008,"46395"
"225","Chemnitz",14511000,"09123"
"226","Bad Iburg",3459004,"49186"
"227","Helsa",6633012,"34298"
"228","Bergatreute",8436014,"88368"
"229","Biederitz",15086005,"39175"
"230","Neu-Ulm",9775135,"89233"
"231","Offenburg",8317096,"77656"
"232","Hann. Münden",3159017,"34346"
"233","Erding",9177117,"85435"
"234","Rastatt",8216043,"76437"
"235","Hitzhofen",9176132,"85122"
"236","Langenpreising",9177126,"85465"
"237","Knüllwald",6634011,"34593"
"238","Ötisheim",8236050,"75443"
"239","Cottbus",12052000,"03051"
"240","Roggenburg",9775149,"89297"
"241","Osterhofen",9271141,"94486"
"242","Goslar",3153017,"38644"
"243","Altusried",9780112,"87452"
"244","Vaihingen an der Enz",8118073,"71665"
"245","Barnstedt",3355006,"21406"
"246","Neuried",8317151,"77743"
"247","Lohne (Oldenburg)",3460006,"49393"
"248","Rippershausen",16066056,"98639"
"249","Hamburg",2000000,"21039"
"250","Viersen",5166032,"41748"
"251","Großmehring",9176129,"85077"
"252","Freiburg im Breisgau",8311000,"79112"
"253","Zell unter Aichelberg",8117060,"73119"
"254","Waidhaus",9374164,"92726"
"255","Regenstauf",9375190,"93128"
"256","Fredersdorf-Vogelsdorf",12064136,"15370"
"257","Bensheim",6431002,"64625"
"258","Bad Wünnenberg",5774040,"33181"
"259","Peine",3157006,"31228"
"260","Wesel",5170048,"46487"
"261","Wachenroth",9572160,"96193"
"262","Rostock",13003000,"18057"
"263","Wernigerode",15085370,"38855"
"264","Scharbeutz",1055044,"23683"
"265","Rietz-Neuendorf",12067426,"15848"
"266","Lichtenau",8216028,"77839"
"267","Kraichtal",8215097,"76703"
"268","Rheda-Wiedenbrück",5754028,"33378"
"269","Altenberge",5566004,"48341"
"270","Kappeln",7336049,"67744"
"271","Krickenbach",7335021,"67706"
"272","Rückweiler",7134074,"55776"
"273","Soest",5974040,"59494"
"274","Hochheim am Main",6436006,"65239"
"275","Öhringen",8126066,"74613"
"276","Sankt Wolfgang",9177137,"84427"
"277","Meißner",6636008,"37290"
"278","Sandhausen",8226076,"69207"
"279","Butzbach",6440005,"35510"
"280","Lengdorf",9177127,"84435"
"281","Korschenbroich",5162020,"41352"
"282","Rutesheim",8115042,"71277"
"283","Meerbusch",5162022,"40670"
"284","Bad Liebenzell",8235008,"75378"
"285","Herford",5758012,"32051"
"286","Roßhaupten",9777166,"87672"
"287","Oberhausen",5119000,"46147"
"288","Hemmingstedt",1051048,"25770"
"289","Edertal",6635009,"34549"
"290","Altenholz",1058005,"24161"
"291","Rastede",3451005,"26180"
"292","Schorfheide",12060198,"16244"
"293","Freiamt",8316054,"79348"
"294","Epfendorf",8325015,"78736"
"295","Marsberg",5958024,"34431"
"296","Altdorf",9274113,"84032"
"297","Düsseldorf",5111000,"40470"
"298","Mühlheim am Main",6438008,"63165"
"299","Gönnebek",1060026,"24610"
"300","Ahaus",5554004,"48683"
"301","Aurich",3452001,"26605"
"302","Creußen",9472127,"95473"
"303","Melle",3459024,"49324"
"304","Hallstadt",9471140,"96103"
"305","Lüdenscheid",5962032,"58509"
"306","Quirnbach",7143061,"56242"
"307","Groß-Gerau",6433006,"64521"
"308","Arnsberg",5958004,"59823"
"309","Weilburg",6533017,"35781"
"310","Euskirchen",5366016,"53881"
"311","Nagold",8235046,"72202"
"312","Übach-Palenberg",5370028,"52531"
"313","Hessisch Oldendorf",3252007,"31840"
"314","Diedorf",9772130,"86420"
"315","Waiblingen",8119079,"71334"
"316","Bad Sülze",13073007,"18334"
"317","Biedenkopf",6534004,"35216"
"318","Mengerschied",7140092,"55490"
"319","Gröbenzell",9179126,"82194"
"320","Drackenstein",8117016,"73345"
"321","Gaggenau",8216015,"76571"
